timestamp,target_threshold,count,avg_duration_s,min_duration_s,max_duration_s,avg_expiry_s,avg_start_price,avg_end_price
2026-01-07T22:17:40.984Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:17:40.984Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:17:40.984Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:18:40.986Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:18:40.986Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:18:40.986Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:19:40.988Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:19:40.988Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:19:40.988Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:20:40.986Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:20:40.986Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:20:40.986Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:21:40.988Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:21:40.988Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:21:40.988Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:22:40.988Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:22:40.988Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:22:40.988Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:23:40.988Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:23:40.988Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:23:40.988Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:24:40.991Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:24:40.991Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:24:40.991Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:25:40.992Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:25:40.992Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:25:40.992Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:26:40.995Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:26:40.995Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:26:40.995Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:27:40.995Z,0.8,19,55.2,0.2,88.0,155,0.459,0.857
2026-01-07T22:27:40.995Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:27:40.995Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:28:40.997Z,0.8,20,55.4,0.2,88.0,154,0.461,0.855
2026-01-07T22:28:40.997Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:28:40.997Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:29:41.000Z,0.8,20,55.4,0.2,88.0,154,0.461,0.855
2026-01-07T22:29:41.000Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:29:41.000Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:30:41.002Z,0.8,20,55.4,0.2,88.0,154,0.461,0.855
2026-01-07T22:30:41.002Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:30:41.002Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
