timestamp,row_type,symbol,timeframe,samples,hits_le_0.9,hits_le_0.95,hits_le_0.98,hits_le_0.985,hits_le_0.99,hits_le_0.995,avg_yes_le_0.9,avg_no_le_0.9,avg_yes_le_0.95,avg_no_le_0.95,avg_yes_le_0.98,avg_no_le_0.98,avg_yes_le_0.985,avg_no_le_0.985,avg_yes_le_0.99,avg_no_le_0.99,avg_yes_le_0.995,avg_no_le_0.995
2026-01-04T16:13:51.312Z,symbol,btc,15m,17498,0,0,26,26,107,110,,,,,0.4958,0.4805,0.4958,0.4805,0.5746,0.4123,0.5760,0.4109
2026-01-04T16:13:51.312Z,symbol,eth,15m,7688,0,2,35,35,90,92,,,0.5329,0.4129,0.5957,0.3764,0.5957,0.3764,0.5877,0.3947,0.5896,0.3929
2026-01-04T16:13:51.312Z,symbol,xrp,15m,1660,0,3,7,7,20,20,,,0.4513,0.4939,0.4333,0.5252,0.4333,0.5252,0.3770,0.6022,0.3770,0.6022
2026-01-04T16:13:51.312Z,symbol,sol,15m,2354,0,0,14,15,33,33,,,,,0.6187,0.3600,0.6319,0.3468,0.6788,0.3068,0.6788,0.3068
2026-01-04T16:14:51.313Z,all,,,30279,0,5,82,83,263,268,,,0.5220,0.4240,0.5293,0.4450,0.5341,0.4402,0.5497,0.4353,0.5579,0.4272
2026-01-04T16:14:51.313Z,symbol,btc,15m,17903,0,0,26,26,107,110,,,,,0.4895,0.4867,0.4895,0.4867,0.5709,0.4159,0.5721,0.4146
2026-01-04T16:14:51.313Z,symbol,eth,15m,8272,0,2,35,35,90,92,,,0.5306,0.4150,0.5884,0.3837,0.5884,0.3837,0.5776,0.4050,0.5793,0.4033
2026-01-04T16:14:51.313Z,symbol,xrp,15m,1727,0,3,7,7,33,33,,,0.4504,0.4948,0.4238,0.5351,0.4238,0.5351,0.3383,0.6419,0.3383,0.6419
2026-01-04T16:14:51.313Z,symbol,sol,15m,2377,0,0,14,15,33,33,,,,,0.6263,0.3524,0.6438,0.3350,0.6898,0.2959,0.6898,0.2959
2026-01-04T16:15:51.313Z,all,,,31666,0,6,92,93,275,280,,,0.4933,0.4517,0.5150,0.4588,0.5195,0.4544,0.5440,0.4406,0.5519,0.4327
2026-01-04T16:15:51.313Z,symbol,btc,15m,18964,0,1,35,35,117,120,,,0.3500,0.5900,0.4814,0.4945,0.4814,0.4945,0.5663,0.4202,0.5675,0.4191
2026-01-04T16:15:51.313Z,symbol,eth,15m,8456,0,2,35,35,91,93,,,0.5289,0.4167,0.5827,0.3895,0.5827,0.3895,0.5696,0.4130,0.5712,0.4115
